Dist_Name,Corrected_Percent_Flooded_Area,Population,Normalized_Flooded_Area,Fatalities_Per_100k,Injuries_Per_100k,Normalized_Flood_Duration,DFSI
Dadra & Nagar Haveli,2.969167705,618459,0.029691677049999997,1.6169220595059655,0,0.02857142857142857,0.4187962912818485
Daman,1.544538442,190125,0.015445384,0,0,0,0.003861346
Diu,0.819836479,67412,0.008198365,0,0,0,0.0020495911975
North  & Middle Andaman,1.3148171,101677,0.013148171,0,0,0.02857142857142857,0.010429899892857142
South Andaman,1.443452407,257900,0.014434524070000001,0.387747188832881,0,0.05714285714285714,0.11483114251143454
Nicobars,0.090612489,27340,0.000906125,0,0,0,0.0002265312225
Srikakulam,3.446704127,2726592,0.034467041,5.2813182170269695,0,0.17142857142857143,1.3718034574313853
Vizianagaram,0.790001986,2443656,0.007900019860000001,2.5781042830905823,4.3786850522332115,0.2571428571428571,1.8054580530816626
Visakhapatnam,0.735914807,4885485,0.007359148,2.1696924665616617,2.3539116382508594,0.2857142857142857,1.2041693846492016
Krishna,0.709710375,4751934,0.007097104,4.419253297709943,0.021044063322428298,0.22857142857142856,1.1689914733384499
Guntur,9.242779332,5374652,0.09242779331999999,3.497900887350474,2.0094324246481445,0.22857142857142856,1.4570831334725118
East Godavari,3.702696517,5569277,0.037026965,3.986154755814803,0.017955652053219834,0.2571428571428571,1.0745700575452202
Prakasam,0.87865931,3731704,0.008786593,4.743141471027712,0,0.22857142857142856,1.2451248731747853
Kurnool,0.289107666,4618046,0.0028910766599999998,3.486323003278876,2.3386514556156435,0.2,1.5069663838886298
Anantapur,0.482623643,4537583,0.004826236,2.6005033957505574,0.022038164370767433,0.2857142857142857,0.7282705205664026
Sri Potti Sriramulu Nell*,0.688735282,3285473,0.006887353,5.326478105283471,0,0.17142857142857143,1.3761985073830105
West Godavari,3.539250333,4167944,0.035392503,5.5662935970348935,0,0.22857142857142856,1.4575643822340805
Y.S.R.,0.045955578,3162142,0.000459556,4.55387518966574,0.031624133261567634,0.2571428571428571,1.2107754339625412
Chittoor,0.504525197,4580686,0.005045252,2.707018119120149,0,0.22857142857142856,0.7351586999153944
Upper Subansiri,1.156238089,119722,0.011562381,4.176341858639181,0.8352683717278361,0.2,1.3057931528142543
Anjaw,1.347748917,24066,0.013477489,20.77619878666999,4.155239757333998,0.14285714285714285,6.271943294007783
Changlang,2.517227647,183018,0.025172276469999998,2.1855773749030147,0.5463943437257537,0.14285714285714285,0.7250002844889779
Tawang,0.876365429,60141,0.008763654,152.97384479805788,13.302073460700687,0.17142857142857143,41.614027621119284
Papum Pare,0.825360946,245559,0.008253609,29.72808978697584,3.6651069600381168,0.11428571428571428,8.378934017689918
Tirap,0.629920802,69112,0.006299208,5.787706910522051,1.4469267276305127,0.14285714285714285,1.8459474972574266
East Siang,2.560087006,86959,0.02560087,14.949573937142791,768.1781069239527,0.17142857142857143,195.831177575646
Lohit,2.147551477,51927,0.021475515,26.960925915227143,1.9257804225162247,0.17142857142857143,7.269902605985485
Kurung Kumey,0.555974167,77223,0.005559742,22.01416676378799,3.8848529583155282,0.11428571428571428,6.504716294514808
Lower Subansiri,0.829376579,99671,0.008293766,12.039610317946043,1.0033008598288369,0.14285714285714285,3.2985155216055055
East Kameng,1.326925325,87734,0.013269253,0,0,0.05714285714285714,0.017603027598214284
West Kameng,1.888080105,99039,0.018880801,22.213471460737686,6.058219489292097,0.11428571428571428,7.101214366341374
Kra Daadi,1.837849659,93220,0.018378497,7.509118214975328,2.1454623471358074,0.14285714285714285,2.4539540503895694
Namsai,3.783292115,120106,0.037832921150000004,3.330391487519358,0.8325978718798395,0.14285714285714285,1.0859198558515852
Longding,0.638916752,60400,0.006389168,6.622516556291391,1.6556291390728477,0.14285714285714285,2.1068480014353455
Upper Siang,2.386481463,34326,0.023864814629999998,69.91784653032687,1954.786459243722,0.11428571428571428,506.21061407574115
Lower Siang,2.171988688,19141,0.021719886879999997,20.89754976229037,5.224387440572593,0.14285714285714285,6.571628558150026
Upper Dibang Valley,0.711350147,10102,0.007113501,49.49514947535142,9.899029895070283,0.14285714285714285,14.886037503687213
Lower Dibang Valley,1.397900013,59491,0.013979,8.404632633507589,1.6809265267015179,0.11428571428571428,2.553455968656205
Siang,2.019900267,48365,0.020199003,8.270443502532823,2.0676108756332057,0.14285714285714285,2.6252776309232924
Shi Yomi,0.679578763,12507,0.006795787629999999,31.982090029583432,7.995522507395858,0.14285714285714285,10.03181636686661
Pakke Kessang,1.721952494,18414,0.017219524939999998,16.291951775822742,5.430650591940915,0.14285714285714285,5.4706697588902
West Siang,0.620779654,48422,0.006207797,107.38920325471892,1379.5382264260047,0.2,371.7834093693159
Lepa Rada,0.870628148,22468,0.008706281,13.35232330425494,4.450774434751647,0.14285714285714285,4.488665290835932
Kamle,1.835951782,25202,0.018359518,11.903817157368463,3.9679390524561544,0.14285714285714285,4.008243217625441
Tinsukia,4.881482417,1408250,0.048814824,7.45606248890467,3.195455352387715,0.37142857142857144,2.7679403092227393
Dhemaji,9.385547809,702202,0.093855478,23.0702846189558,4.984320751008969,0.2571428571428571,7.101400926299406
Dibrugarh,11.91387334,1510242,0.119138733,9.73353939302443,3.1120840236200555,0.2857142857142857,3.312619108939693
Lakhimpur,14.44869666,1161342,0.144486967,18.42695777815665,3.358183894150044,0.2571428571428571,5.546692874012387
Sivasagar,16.53832279,800874,0.16538322789999998,14.609039624210551,1.8729537979757116,0.34285714285714286,4.247558448235851
Jorhat,6.654597736,1037431,0.06654597736000001,19.760350326913308,0.38556781125684503,0.37142857142857144,5.145973171739681
Sonitpur,5.196410326,1462078,0.051964103,9.84899574441309,0.5471664302451715,0.2571428571428571,2.6763172837652798
Golaghat,11.59095462,1310870,0.11590954619999999,6.331672858483297,0.38142607581224686,0.2571428571428571,1.7715378344096002
Udalguri,3.135691777,909069,0.031356918,5.610135204258423,0.2200053021277813,0.2857142857142857,1.5368029274676225
Chirang,2.853895807,616102,0.028538958,9.089404027255227,0.16231078620098618,0.2571428571428571,2.384349157167268
Baksa,3.732064694,1258285,0.037320647,4.053135815812793,0.07947325129044691,0.2,1.09248242851081
Nagaon,13.41948919,2348489,0.134194892,6.1316020641357065,0.21290284944915647,0.22857142857142856,1.6768178085140728
Kokrajhar,2.517160431,1311786,0.025171604,5.412468192220378,0.07623194636930108,0.37142857142857144,1.4713250785820624
Darrang,11.80139268,1126535,0.11801392679999999,13.315165529699476,0.26630331059398954,0.2571428571428571,3.489156406059081
Barpeta,10.48787247,1877307,0.104878725,8.469579029961535,0.2663389632063376,0.2571428571428571,2.2744848937526827
Nalbari,6.588557735,978546,0.065885577,13.285016749340349,0.10219243653338729,0.2857142857142857,3.434702262234506
Morigaon,13.48924998,1127394,0.1348925,7.184710935130043,0.2661004050048164,0.22857142857142856,1.953568817126572
Kamrup,8.562804612,1546068,0.08562804612000001,11.70711766882181,0.8408427054954892,0.22857142857142856,3.215539962252182
Bongaigaon,8.287953017,803266,0.08287953,9.834849228026581,0.1244917623800833,0.3142857142857143,2.589126558715595
Dhubri,9.231447974,1376422,0.09231448,10.243951346316754,0.21795641162376073,0.34285714285714286,2.7242698451344145
Kamrup Metropolitan,13.18157395,1437551,0.13181574,0.4869392459815339,0.1391254988518668,0.02857142857142857,0.1966129782262073
Goalpara,12.6070399,1063871,0.126070399,14.851424655808835,0.46998179290534287,0.2857142857142857,3.9332977833571157
Dima Hasao,1.656871704,288305,0.016568717,14.22105062347167,0.3468548932554066,0.22857142857142856,3.703261415584626
